track_id,input1_latitude,input1_longitude,input2_latitude,input2_longitude,input3_latitude,input3_longitude,input4_latitude,input4_longitude,target_latitude,target_longitude,prediction_latitude,prediction_longitude,5_percentile_latitude,5_percentile_longitude,95_percentile_latitude,95_percentile_longitude
1,0.0,0.0,0.0,-0.699999988079071,-0.20000000298023224,-1.100000023841858,-0.30000001192092896,-1.5,-0.5,-2.0999999046325684,-0.47225651144981384,-1.9964061975479126,-0.6010388731956482,-2.1514484882354736,-0.34845414757728577,-1.8603416681289673
1,0.0,-0.699999988079071,-0.20000000298023224,-1.100000023841858,-0.30000001192092896,-1.5,-0.5,-2.0999999046325684,-0.4000000059604645,-2.700000047683716,-0.6743171215057373,-2.4812281131744385,-0.8040629029273987,-2.6513607501983643,-0.5537467002868652,-2.302786111831665
1,-0.20000000298023224,-1.100000023841858,-0.30000001192092896,-1.5,-0.5,-2.0999999046325684,-0.4000000059604645,-2.700000047683716,-0.5,-3.200000047683716,-0.6059218049049377,-3.1995532512664795,-0.7424212098121643,-3.3891804218292236,-0.477583110332489,-2.9751365184783936
1,-0.30000001192092896,-1.5,-0.5,-2.0999999046325684,-0.4000000059604645,-2.700000047683716,-0.5,-3.200000047683716,-0.6000000238418579,-3.9000000953674316,-0.5545910596847534,-3.753175973892212,-0.6946703195571899,-3.984626531600952,-0.4260561168193817,-3.4771151542663574
1,-0.5,-2.0999999046325684,-0.4000000059604645,-2.700000047683716,-0.5,-3.200000047683716,-0.6000000238418579,-3.9000000953674316,-0.699999988079071,-4.599999904632568,-0.6741499900817871,-4.384165287017822,-0.8128988146781921,-4.670511722564697,-0.5339255332946777,-4.070345401763916
1,-0.4000000059604645,-2.700000047683716,-0.5,-3.200000047683716,-0.6000000238418579,-3.9000000953674316,-0.699999988079071,-4.599999904632568,-0.800000011920929,-5.5,-0.8367459774017334,-5.192097187042236,-0.9771953225135803,-5.507926940917969,-0.6967426538467407,-4.83523416519165
1,-0.5,-3.200000047683716,-0.6000000238418579,-3.9000000953674316,-0.699999988079071,-4.599999904632568,-0.800000011920929,-5.5,-0.8999999761581421,-6.400000095367432,-0.9348346590995789,-6.1208319664001465,-1.0787450075149536,-6.480718612670898,-0.7927840352058411,-5.722751617431641
1,-0.6000000238418579,-3.9000000953674316,-0.699999988079071,-4.599999904632568,-0.800000011920929,-5.5,-0.8999999761581421,-6.400000095367432,-1.0,-7.400000095367432,-1.033203363418579,-7.134848594665527,-1.176877498626709,-7.529764652252197,-0.8862847685813904,-6.6507792472839355
1,-0.699999988079071,-4.599999904632568,-0.800000011920929,-5.5,-0.8999999761581421,-6.400000095367432,-1.0,-7.400000095367432,-1.100000023841858,-7.900000095367432,-1.1318589448928833,-8.121349334716797,-1.2782143354415894,-8.555800437927246,-0.9831385016441345,-7.582320213317871
1,-0.800000011920929,-5.5,-0.8999999761581421,-6.400000095367432,-1.0,-7.400000095367432,-1.100000023841858,-7.900000095367432,-1.2999999523162842,-7.5,-1.23080575466156,-8.647749900817871,-1.3796470165252686,-9.112537384033203,-1.0735207796096802,-8.07982349395752
